 Metabolite_name	RefMet_name	K1	K10	K11	K12	K13	K2	K3	K4	K5	K7	K8	K9	245c	248c	249c	250c	252c	253c	257c	258c	259c	s251	s253	s293	s294	s299	s303	s313	s315	s318	s330	s336	s339	s345	245t	248t	249t	250t	252t	253t	257t	258t	259t
Factors	-	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema
Ornithine	Ornithine	54.9000	93.8000	116.6000	75.7000	77.3000	92.2000	73.7000	81.1000	73.8000	80.3000	87.9000	69.9000	66.4000	72.4000	43.7000	70.6000	70.4000	91.8000	43.3000	67.4000	74.4000	81.8000	76.6000	35.9000	52.7000	59.1000	45.8000	150.1000	62	93.8000	41.8000	125.7000	65.8000	100.6000	65.9000	58.1000	37.7000	57.1000	68	46.4000	46.4000	40.6000	74.2000
Phenylalanine	Phenylalanine	52.4000	74.5000	90.6000	64.8000	72	106	58.3000	71.8000	90.1000	68	77.8000	56.8000	51.1000	76.3000	71.4000	62.5000	77.2000	81.1000	78.7000	70.6000	66.9000	119.8000	122.9000	77.5000	125.4000	88.1000	125.7000	180.2000	107	141.1000	117.6000	148.4000	119.8000	112.9000	35.5000	66.7000	62.7000	54.4000	73.3000	49.4000	74	64.4000	74.7000
Proline	Proline	153	133.3000	143.1000	96	105.2000	115.7000	116.8000	179.8000	106.1000	110.4000	141.6000	135.6000	122	310.8000	251.4000	284.7000	239.6000	202.4000	172.5000	205.6000	222.2000	265.4000	302.3000	139.4000	240.2000	166.8000	310.3000	345.7000	238.3000	371.7000	293.2000	208.1000	265.4000	309.5000	122.9000	241.1000	202.6000	217.6000	182.8000	138.5000	154.8000	187.8000	196.8000
Propylene glycol	Propylene glycol	5.2000	3	2	2.9000	1.7000	0.5000	2.6000	0.5000	12.7000	1.2000	4	7.1000	5.9000	9.4000	4.9000	2.6000	5.2000	6.1000	7.3000	5.8000	6.7000	8.7000	7.5000	3.9000	3.7000	8.2000	3.9000	9.9000	10.9000	7.4000	6.8000	5.4000	1.3000	4.7000	3.9000	10.2000	4.5000	6.2000	17.4000	8.4000	8.6000	6.9000	1.9000
Pyroglutamic acid	Pyroglutamic acid		18.7000	10.7000	17.8000			19.1000	18.1000	10.3000		8.3000	32.1000										60.3000	326.3000	105.3000	2.7000	412	152.2000	148.7000	305.8000	44.4000	256.7000	67.9000	18.5000	41.1000	43.2000	12.5000	50.2000			8.6000			
Pyruvic acid	Pyruvic acid	3.1000	3.1000	2.3000	1.4000	0.6000	2.5000	2.1000	0.8000	4	1.4000	2.3000	2.9000	33.4000	51	69.7000	36.6000	31.9000	26.4000	41.2000	20	18.1000	49.6000	69.5000	34.9000	40.8000	69.1000	21.1000	34.8000	56.9000	113	74.1000	55.3000	90	22.8000	23.9000	39.6000	67.8000	29.8000	34.8000	24.5000	53.7000	30.2000	46.5000
Serine	Serine	164	283.8000	271.9000	246.7000	209.7000	260.9000	297.9000	257	252	207.3000	276.4000	242.3000	203.5000	229.2000	191.6000	223	258.5000	233.4000	155.2000	277.6000	250.2000	362.7000	303.6000	236.6000	317.6000	298.6000	351.1000	428.3000	297.9000	426.6000	319.5000	444	347.3000	380.7000	222.7000	196	166	177.6000	283.8000	179.6000	172	258.7000	242.5000
sn-Glycero-3-phosphocholine	sn-Glycero-3-phosphocholine	40.1000	67.1000	61.9000	33.5000	46.1000	45.8000	42	54.8000	44	31.8000	57.1000	41	36.5000	51.5000	29	44.4000	38	40.9000	36.4000	34.2000	40.7000	102.7000	92.2000	45.4000	73	66.3000	108.8000	83.9000	49.6000	72.9000	91.8000	72.5000	72.3000	68.1000	37.1000	55	29.4000	39.5000	42.3000	39.7000	41.3000	30.8000	46.3000
Threonine	Threonine	73.1000	112.7000	92.8000	98.8000	88.6000	124	141	111.1000	101.4000	79.1000	114.2000	112.3000	81.8000	76	102.1000	91.8000	141.9000	101.3000	130.8000	144.6000	134	162.8000	160	132.3000	130	106.2000	162.8000	198.6000	196.8000	208.2000	124.2000	174.8000	122.6000	159.7000	124.9000	101.8000	91.9000	55.4000	160.4000	73	126	123.9000	109
Tryptophan	Tryptophan	9.3000	33.9000	38.2000	20	26.8000	29.5000	23.6000	34.8000	30	23	28.1000	27.6000	41.1000	52.2000	37.8000	53.6000	45.2000	43.5000	45.3000	55.5000	48.9000	68.4000	63.2000	26.9000	75.7000	34.8000	65	97.3000	47.4000	88.9000	83.1000	56.1000	88.1000	76.9000	46.2000	20.1000	21.7000	27	31.6000	21.2000	11.8000	43	30.5000
