"Metabolite","Group Area: HILIC_Neg_WT1","Group Area: HILIC_Neg_WT2","Group Area: HILIC_Neg_WT3","Group Area: HILIC_Neg_WRN1","Group Area: HILIC_Neg_WRN2","Group Area: HILIC_Neg_WRN3","Group Area: HILIC_Neg_shPGC1B1","Group Area: HILIC_Neg_shPGC1B2","Group Area: HILIC_Neg_shPGC1B3"
"Trifluoroacetic.acid",4.7612737097079,4.24745761658797,2.6057735318276,5.18103773906274,4.80198595736765,1.57808940225177,3.95137251434525,4.8709406517413,3.80405258171668
"Glutaconic.acid",-0.907571118361339,1.38121987366974,-0.608784690630511,-0.154378244806953,-1.74510670060794,-1.96923010241004,-2.35422866106436,-1.7120694262856,-2.82968880330232
"Oxoglutaric.acid",-1.73148624635088,-1.13996407058499,-0.310110463033165,-1.17074031272212,-1.34914174078071,-0.295797932016079,0.134577832428391,-2.57347154560185,0.959997482176149
"NA.",1.86209380385453,1.76420093874425,2.13090358963182,1.03475110231263,0.624257655329888,1.63355708076475,2.18754162997795,1.61805735156679,1.88995711357627
"Allantoin",-2.48784937697219,-2.23312468893998,-2.72696674068546,-1.02500409804707,5.29205084937649,-0.545119905077016,-0.45388121860136,-1.62368724418178,-0.127209522974887
"Arabinonic.acid",4.6663168525927,4.41485650490421,4.49297087737045,4.52662906686309,4.10357912597186,3.95457167453787,3.87709935256793,4.43974718506073,3.65755144925076
"cis.Aconitic.acid",0.620043388296402,0.883069131632993,1.33572943449499,2.36063697697766,2.70305443933774,2.62077872196791,2.89223216927007,1.68129217554041,3.11083022872084
"Phenol.sulphate",-3.74425796665956,-3.87182755413462,-4.15784252775493,0.492438442589883,0.602959759131387,1.00673785101109,-1.06561629086497,-2.1742989060908,-0.842643155942163
"N.Acetyl.L.aspartic.acid",-1.05829916293784,-0.387721428718788,-0.0495753136708963,-1.80115150460705,-0.918368324615365,-0.30288831315579,0.338932464950091,-0.963675314168057,1.32800821233258
"Pyrophosphate",5.77059905123659,4.91021323263156,5.64531815003564,5.97549705741425,6.59846141760109,6.14517821810121,4.65280874950339,4.6843669827656,4.84957507836134
"NA..1",-2.17283481953181,-1.16373236673759,-0.0578730465169706,1.91171218511619,2.09713411622794,2.97972157580289,3.09285502571501,0.16851902783613,3.78015993551239
"Meglumine",1.91169459596204,2.00812269981705,2.14661968753687,3.36688515733221,3.57535394133075,3.73375411249526,3.95300718960537,3.12881742956343,4.06252833026659
"NA..2",0.989138646460848,1.21753264075516,2.13183332376554,-0.305268360157857,-1.09001354261396,1.11042162632899,2.65043955858387,0.445135898345331,2.42618225494941
"NA..3",-3.13424413878462,-3.75988620978086,-2.52328488406312,0.542692141922981,0.690255055369771,0.92700738446646,0.539408031897725,-0.423457851268537,0.793185411963265
"Dibenzothiophene.5.oxide",0.12441660314995,1.28069851997795,1.61244957435011,-0.295379263966396,-0.849647300411014,0.683548580801261,2.07224317567144,-0.400147416153807,2.34395353334811
"Phenyl.sulfoxide",1.3163608157038,2.52588583585238,2.52452028769154,1.16390221131892,0.781997922752126,1.33467673019189,2.27844237361958,0.498876102261143,2.74700545947615
"NA..4",-3.95987556629127,-2.5727896554854,-1.92416629450398,0.2142483154703,0.432306863780884,1.35553714706712,1.27233691275336,-1.57268192067666,1.96934143138956
"Daucic.acid",1.1263043597845,1.20378033956631,1.08837862014478,1.21141779449686,1.1803049212013,1.26903499479502,0.911390034181547,0.907771301905331,1.14197702468591
"NA..5",4.33532062371676,4.53515762756512,4.08681575435092,4.15351133084106,4.28729920159643,4.09875295307709,3.8718893316625,4.42581196248862,3.50037926094333
"X3.Methoxytyrosine",-3.71101417866658,-2.47371296287194,-1.50094050257228,-2.47476167225877,-2.84915653189758,-2.23212773043738,-1.41216979016541,-2.80709163953436,-2.77334279552993
"Ferrocyanide.salts",-2.57376906220879,-1.84181335503584,-2.48573283596283,-1.28988168931508,-1.42934469637753,-1.09524142148648,-0.362080906949128,-2.2968065186601,0.187707913145545
"Glycerylphosphorylethanolamine",0.863460555806132,0.968560083012672,1.3504217400393,2.96010942408689,2.87250652112523,3.27793829393206,3.07620269311347,2.15307792502121,3.71003004821914
